wav_filename,wav_filesize,transcript
data/quran/wav/001003.wav,147166,ٱلرَّحْمَٰنِ ٱلرَّحِيمِ
data/quran/wav/001004.wav,151346,مَٰلِكِ يَوْمِ ٱلدِّينِ
data/quran/wav/001006.wav,174750,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ
data/quran/wav/018085.wav,145494,فَأَتْبَعَ سَبَبًا
data/quran/wav/018089.wav,148838,ثُمَّ أَتْبَعَ سَبَبًا
data/quran/wav/018092.wav,163884,ثُمَّ أَتْبَعَ سَبَبًا
data/quran/wav/019089.wav,179766,لَّقَدْ جِئْتُمْ شَيْـًٔا إِدًّا
data/quran/wav/020019.wav,183110,قَالَ أَلْقِهَا يَٰمُوسَىٰ
data/quran/wav/020028.wav,134626,يَفْقَهُوا۟ قَوْلِى
data/quran/wav/020033.wav,173916,كَىْ نُسَبِّحَكَ كَثِيرًا
data/quran/wav/020034.wav,161376,وَنَذْكُرَكَ كَثِيرًا
data/quran/wav/030002.wav,178094,غُلِبَتِ ٱلرُّومُ
data/quran/wav/036002.wav,170572,وَٱلْقُرْءَانِ ٱلْحَكِيمِ
data/quran/wav/036003.wav,180602,إِنَّكَ لَمِنَ ٱلْمُرْسَلِينَ
data/quran/wav/038067.wav,176422,قُلْ هُوَ نَبَؤٌا۟ عَظِيمٌ
data/quran/wav/044046.wav,183110,كَغَلْىِ ٱلْحَمِيمِ
data/quran/wav/051002.wav,174750,فَٱلْحَٰمِلَٰتِ وِقْرًا
data/quran/wav/051003.wav,184782,فَٱلْجَٰرِيَٰتِ يُسْرًا
data/quran/wav/051009.wav,163884,يُؤْفَكُ عَنْهُ مَنْ أُفِكَ
data/quran/wav/052002.wav,184782,وَكِتَٰبٍ مَّسْطُورٍ
data/quran/wav/052003.wav,176422,فِى رَقٍّ مَّنشُورٍ
data/quran/wav/052004.wav,163884,وَٱلْبَيْتِ ٱلْمَعْمُورِ
data/quran/wav/052005.wav,140478,وَٱلسَّقْفِ ٱلْمَرْفُوعِ
data/quran/wav/052006.wav,163884,وَٱلْبَحْرِ ٱلْمَسْجُورِ
data/quran/wav/052008.wav,185618,مَّا لَهُۥ مِن دَافِعٍ
data/quran/wav/053053.wav,184782,وَٱلْمُؤْتَفِكَةَ أَهْوَىٰ
data/quran/wav/053057.wav,159704,أَزِفَتِ ٱلْءَازِفَةُ
data/quran/wav/055002.wav,149674,عَلَّمَ ٱلْقُرْءَانَ
data/quran/wav/055004.wav,160540,عَلَّمَهُ ٱلْبَيَانَ
data/quran/wav/069022.wav,166392,فِى جَنَّةٍ عَالِيَةٍ
data/quran/wav/069023.wav,175586,قُطُوفُهَا دَانِيَةٌ
data/quran/wav/069029.wav,189798,هَلَكَ عَنِّى سُلْطَٰنِيَهْ
data/quran/wav/069039.wav,179766,وَمَا لَا تُبْصِرُونَ
data/quran/wav/070003.wav,152182,مِّنَ ٱللَّهِ ذِى ٱلْمَعَارِجِ
data/quran/wav/070005.wav,177258,فَٱصْبِرْ صَبْرًا جَمِيلًا
data/quran/wav/070007.wav,153852,وَنَرَىٰهُ قَرِيبًا
data/quran/wav/070009.wav,179766,وَتَكُونُ ٱلْجِبَالُ كَٱلْعِهْنِ
