wav_filename,wav_filesize,transcript
data/quran/wav/001002_Alafasy_64kbps.wav,182274,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ
data/quran/wav/001002_Ayman_Sowaid_64kbps.wav,225836,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ
data/quran/wav/001002_Husary_64kbps.wav,203172,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ
data/quran/wav/001003_Alafasy_64kbps.wav,151346,ٱلرَّحْمَٰنِ ٱلرَّحِيمِ
data/quran/wav/001003_Ayman_Sowaid_64kbps.wav,159020,ٱلرَّحْمَٰنِ ٱلرَّحِيمِ
data/quran/wav/001003_Husary_64kbps.wav,146330,ٱلرَّحْمَٰنِ ٱلرَّحِيمِ
data/quran/wav/001004_Alafasy_64kbps.wav,152182,مَٰلِكِ يَوْمِ ٱلدِّينِ
data/quran/wav/001004_Ayman_Sowaid_64kbps.wav,161324,مَٰلِكِ يَوْمِ ٱلدِّينِ
data/quran/wav/001004_Husary_64kbps.wav,150510,مَٰلِكِ يَوْمِ ٱلدِّينِ
data/quran/wav/001005_Alafasy_64kbps.wav,218218,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
data/quran/wav/001005_Ayman_Sowaid_64kbps.wav,240428,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
data/quran/wav/001005_Husary_64kbps.wav,221562,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
data/quran/wav/001006_Alafasy_64kbps.wav,182274,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ
data/quran/wav/001006_Ayman_Sowaid_64kbps.wav,198188,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ
data/quran/wav/001006_Husary_64kbps.wav,173916,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ
data/quran/wav/001007_Alafasy_64kbps.wav,427198,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ
data/quran/wav/001007_Ayman_Sowaid_64kbps.wav,576812,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ
data/quran/wav/001007_Husary_64kbps.wav,480698,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ
data/quran/wav/002002_Alafasy_64kbps.wav,290944,ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ فِيهِ هُدًى لِّلْمُتَّقِينَ
data/quran/wav/002002_Ayman_Sowaid_64kbps.wav,354092,ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ فِيهِ هُدًى لِّلْمُتَّقِينَ
data/quran/wav/002002_Husary_64kbps.wav,404628,ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ فِيهِ هُدًى لِّلْمُتَّقِينَ
data/quran/wav/002003_Alafasy_64kbps.wav,368684,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ
data/quran/wav/002003_Ayman_Sowaid_64kbps.wav,519980,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ
